"","related_publication_id"
"197","https://doi.org/10.1371/journal.pone.0110793"
"198","https://doi.org/10.1016/j.jhevol.2011.03.004"
"199","https://doi.org/10.1038/s41598-022-12880-4"
"200","10.1657/1523-0430(2007)39[84:GOSASO]2.0.CO;2"
"201","https://doi.org/10.1371/journal.pone.0280589"
"202","https://doi.org/10.1016/j.chemgeo.2022.120832"
"203","https://doi.org/10.1016/j.jasrep.2022.103816"
"204","https://doi.org/10.1016/j.scitotenv.2021.145792"
"205","https://doi.org/10.1038/s42003-024-06233-2"
"206","https://doi.org/10.1163/21915784-20210008"
"207","https://doi.org/10.1002/ajpa.24742"
"208","https://doi.org/10.1016/j.palaeo.2017.10.008"
"209","http://dx.doi.org/10.1007/s12520-011-0065-0"
"210","https://doi.org/10.1371/journal.pone.0146176"
"211","https://doi.org/10.1371/journal.pone.0300867"
"212","https://doi.org/10.1016/j.epsl.2021.116880"
"213","https://doi.org/10.1080/14614103.2019.1689894"
"214","https://doi.org/10.1016/j.apgeochem.2018.12.020"
"215","https://doi.org/10.1111/bor.12091"
"216","https://doi.org/10.1890/03-0766"
"217","https://doi.org/10.1371/journal.pone.0204649"
"218","https://doi.org/10.1111/arcm.12049"
"219","https://doi.org/10.1016/j.jasrep.2017.11.009"
"220","https://doi.org/10.1016/j.jasrep.2021.103334"
"221","https://doi.org/10.1016/j.jaa.2012.07.002"
"222","https://doi.org/10.1016/j.jas.2006.10.014"
"223","https://doi.org/10.1144/0016-76492009-090"
"224","doi: https://doi.org/10.1144/0016-76492009-090"
"225","https://doi.org/10.1111/j.1475-4754.2008.00396.x"
"226","https://doi.org/10.1371/journal.pone.0287787"
"227","https://doi.org/10.1002/gea.21545"
"228","https://doi.org/10.1016/j.scijus.2023.12.006"
"229","https://doi.org/10.1111/j.1475-4754.2004.00140.x"
"230","https://doi.org/10.1016/j.jasrep.2016.01.015"
"231","https://doi.org/10.1016/j.jas.2012.02.002"
"232","https://doi.org/10.1002/ajpa.21104"
"233","https://doi.org/10.1038/s41559-019-0900-8"
"234","https://doi.org/10.1016/j.quascirev.2022.107387"
"235","https://doi.org/10.1016/j.apgeochem.2014.08.004"
"236","https://doi.org/10.1016/j.gloplacha.2019.103080"
"237","https://doi.org/10.1016/j.jasrep.2022.103606"
"238","https://doi.org/10.1002/rcm.3521"
"239","https://doi.org/10.1016/j.jas.2013.01.020"
"240","https://doi.org/10.1006/jasc.1994.1031"
"241","https://doi.org/10.1007/s00442-010-1731-0"
"242","https://doi.org/10.1038/s41598-020-79675-3"
"243","https://doi.org/10.3389/feart.2021.699460"
"244","https://doi.org/10.1016/0305-4403(91)90074-Y"
"245","https://doi.org/10.1016/j.gca.2018.07.036"
"246","https://doi.org/10.1073/pnas.1713880115"
"247","https://doi.org/10.1016/j.jas.2012.08.001"
"248","http://dx.doi.org/10.1016/j.jas.2012.08.001"
"249","https://doi.org/10.1016/j.quascirev.2017.08.010"
"250","https://doi.org/10.1007/s12520-013-0121-z."
"251","10.1016/j.jas.2008.09.023"
"252","https://doi.org/10.1016/j.foodchem.2018.02.084"
"253","https://doi.org/10.1016/j.chemgeo.2021.120624"
"254","www.jstor.org/stable/26671848"
"255","https://doi.org/10.2307/40035859"
"256","https://doi.org/10.3721/037.002.sp706"
"257","https://doi.org/10.1515/9783110266306.311"
"258","http://dx.doi.org/10.1016/j.geoderma.2012.06.029"
"259","https://doi.org/10.1016/j.jas.2023.105775"
"260","http://doi.org/10.5334/oq.32"
"261","https://doi.org/10.1080/14614103.2023.2260622"
"262","https://doi.org/10.1016/0012-821X(92)90028-T"
"263","10.1002/jsfa.10399"
"264","https://doi.org/10.1007/s12520-022-01539-w"
"265","https://doi.org/10.1016/j.jasrep.2022.103680"
"266","https://doi.org/10.1016/j.jas.2019.105066"
"267","https://doi.org/10.1179/1461957112Y.0000000017"
"268","https://doi.org/10.1002/ajpa.23086"
"269","https://doi.org/10.1080/14614103.2017.1316432"
"270","https://doi.org/10.1371/journal.pone.0147585"
"271","unpublished data"
"272","https://doi.org/10.1002/gea.20230"
"273","https://doi.org/10.1002/ajpa.22827"
"274","https://doi.org/10.1016/j.jasrep.2021.102922"
"275","https://doi.org/10.1016/j.jas.2022.105595"
"276","https://doi.org/10.1016/j.jas.2008.02.013"
"277","https://doi.org/10.1007/s004420050067"
"278","https://doi.org/10.1130/G19749.1"
"279","https://doi.org/10.1017/laq.2018.41"
"280","https://doi.org/10.1073/pnas.1921037117"
"281","https://doi.org/10.1016/j.apgeochem.2010.09.006"
"282","https://doi.org/10.1006/jasc.1996.0129"
"283","https://doi.org/10.1130/0091-7613(2000)028%3C0343:SIEFLP%3E2.3.CO;2"
"284","https://doi.org/10.1515/opar-2022-0302"
"285","10.1371/journal.pone.0264458"
"286","10.1080/14614103.2019.1689894"
"287","https://doi.org/10.1016/j.jas.2014.06.013"
"288","https://doi.org/10.1016/j.palaeo.2019.109291"
"289","https://doi.org/10.1039/b616328a"
"290","https://doi.org/10.1371/journal.pone.0002791"
"291","https://doi.org/10.1002/ajpa.20480"
"292","https://doi.org/10.1017/S104566350000763X"
"293","https://doi.org/10.1080/00438243.2013.820648"
"294","https://doi.org/10.1016/j.scitotenv.2012.06.046"
"295","https://doi.org/10.1016/j.jas.2005.01.016"
"296","https://doi.org/10.1016/j.jas.2011.06.035"
"297","https://doi.org/10.1139/F08-164"
"298","https://doi.org/10.1016/S0009-2541(00)00187-X"
"299","https://doi.org/10.1080/14614103.2017.1297012"
"300","https://doi.org/10.1098/rsos.200760"
"301","https://doi.org/10.1111/j.1556-4029.2007.00610.x"
"302","https://doi.org/10.1371/journal.pone.0229687"
"303","https://doi.org/10.1017/laq.2018.31"
"304","https://doi.org/10.1006/jasc.1999.0504"
"305","https://doi.org/10.1016/j.jas.2004.11.011"
"306","https://doi.org/10.1016/j.jas.2003.10.009"
"307","https://doi.org/10.1111/1556-4029.13462"
"308","https://doi.org/10.1130/0091-7613(1999)027<0851:SOICSS>2.3.CO;2"
"309","10.1016/j.jas.2015.10.006"
"310","http://dx.doi.org/10.1016/j.gca.2013.11.015"
"311","https://doi.org/10.1007/s00217-010-1362-z"
"312","10.1016/j.geoderma.2007.08.016"
"313","https://doi.org/10.1016/j.quascirev.2016.04.002"
"314","https://doi.org/10.1016/j.yqres.2007.08.001"
"315","https://doi.org/10.1130/0091-7613(1999)027%3C0439:TMAMRO%3E2.3.CO;2"
"316","https://doi.org/10.1130/0091-7613(1998)026%3C1015:CSOBCD%3E2.3.CO;2"
"317","https://doi.org/10.1073/pnas.152045499"
"318","10.1007/s12520-013-0148-1"
"319","https://doi.org/10.1890/05-0394"
"320","https://doi.org/10.1007/s00442-004-1743-8"
"321","10.1021/es500071w"
"322","https://doi.org/10.1017/qua.2018.8"
"323","https://doi.org/10.1017/qua.2018.45"
"324","https://doi.org/10.1007/s12520-021-01498-8"
"325","https://doi.org/10.1038/346744a0"
"326","https://doi.org/10.1038/346747a0"
"327","https://doi.org/10.1016/j.jasrep.2019.101981"
"328","https://doi.org/10.1016/j.jas.2013.11.004"
"329","https://doi.org/10.1016/j.palaeo.2020.109957"
"330","https://doi.org/10.1007/s00254-002-0596-x"
"331","https://doi.org/10.1111/1475-4754.00047"
"332","https://doi.org/10.1016/j.quaint.2017.05.049"
"333","https://doi.org/10.1111/j.1556-4029.2009.01171.x"
"334","https://doi.org/10.1016/j.jas.2009.08.016"
"335","https://doi.org/10.1016/j.jas.2014.01.022"
"336","https://doi.org/10.1002/ajpa.23473"
"337","https://doi.org/10.1016/j.quaint.2017.05.051"
"338","https://doi.org/10.1007/978-3-031-07426-4_5"
"339","https://doi.org/10.1007/s00114-018-1564-y"
"340","https://doi.org/10.3389/fevo.2019.00490"
"341","https://doi.org/10.1002/wsb.840"
"342","https://doi.org/10.1016/0895-9811(94)90022-1"
"343","https://doi.org/10.1007/s12520-017-0480-y"
"344","doi:10.1016/j.geoderma.2004.09.010"
"345","https://doi.org/10.1371/journal.pone.0219850"
"346","https://doi.org/10.1666/0094-8373(2004)030%3C0129:LPMHSM%3E2.0.CO;2"
"347","https://doi.org/10.1007/s12520-015-0242-7"
"348","https://doi.org/10.1016/j.jasrep.2017.09.002"
"349","https://doi.org/10.1371/journal.pone.0163606"
"350","doi: 10.1111/j.1365-2486.2005.01034.x"
"351","https://doi.org/10.1016/j.jas.2022.105628"
"352","https://doi.org/10.1139/f2012-009"
"353","https://doi.org/10.1139/f00-206"
"354","https://doi.org/10.1016/j.jas.2010.07.014"
"355","https://doi.org/10.1016/j.scitotenv.2019.03.387"
"356","https://doi.org/10.1016/S0016-7061(02)00134-9"
"357","https://doi.org/10.1021/jf4012592"
"358","https://doi.org/10.1007/s00442-018-4185-4"
"359","https://doi.org/10.1111/1365-2664.12665"
"360","https://doi.org/10.1016/S0047-2484(85)80029-4"
"361","https://doi.org/10.1016/j.jasrep.2020.102614"
